PDB,VINA,GlideSP,DSX,RFScore,HMS
1ajp,-6.09585,-9.42,-74.291,-7.56379232837,-7.156434469
1ajq,-4.90595,-4.49,-55.985,-8.79175129924,-6.976832832
2g5u,-3.48327,-4.42,-37.744,-5.90748197125,-8.510354504
1ndy,-7.3392,-10.57,-90.193,-10.518083187,-9.435993711
1ha2,-9.23019,-4.26,-101.777,-10.3098457237,-9.767565964
1ndz,-9.3261,-13.99,-158.192,-10.5412221238,-10.2096623
1ndw,-7.00315,-7.81,-80.754,-9.18960141224,-8.42746144
2f80,-9.11143,-13.61,-194.674,-11.9796942922,-11.17674804
1e66,-12.28367,-4.65,-118.017,-9.35546759009,-9.89190556
1sl3,-10.29659,-14.93,-183.991,-10.7411054971,-10.19584679
2f01,-6.90885,-13.03,-109.033,-8.96564136157,-8.358383888
4tln,-4.25545,-3.15,-52.747,-7.28857280931,-7.17024998
1d7j,-3.09728,-5.13,-41.061,-5.96332324725,-5.95448505
1zoe,-5.18652,-6.45,-55.757,-9.04058827272,-8.689956141
1sv3,-4.62945,-7.3,-54.735,-6.5749259958,-7.239327532
6rnt,-5.22329,-7.4,-79.392,-7.38262990246,-7.17024998
2i0d,-8.63029,-13.74,-198.418,-13.7140176728,-11.121486
2aov,-9.9126,-10.4,-73.719,-8.65957017546,-9.435993711
2aou,-9.66399,-10.31,-122.102,-9.96494587768,-10.77609824
1g7q,-8.70712,-4.2,-190.712,-7.94636071553,-10.84517579
2er9,-9.06465,-16.8,-273.803,-10.2436963401,-13.35959871
1u2y,-4.95917,-6.58,-35.157,-6.83187857987,-6.396581388
2j78,-6.15862,-7.75,-74.587,-7.16228157924,-7.68142387
1slg,-5.12159,-3.82,-107.697,-9.22673500882,-8.537985525
1ai5,-6.70166,-11.77,-68.939,-7.52192750284,-7.847209997
2g8r,-4.95231,-8.02,-75.632,-6.82665728705,-6.990648342
1b9j,-8.117,-11.2,-180.199,-9.80742563786,-10.22347781
1a1b,-4.68699,-8.63,-128.595,-8.65359237104,-8.772849204
8cpa,-6.84991,-4.16,-133.336,-8.6177900321,-10.37544843
1a69,-8.01951,-9.26,-101.953,-7.44833486983,-7.791947955
2qwb,-5.77522,-7.69,-58.702,-6.82186086076,-7.032094874
2b7d,-8.22152,-10.23,-158.113,-10.7372597,-10.00242964
1tmn,-7.1456,-4.64,-125.875,-9.88624027914,-10.51360353
2brm,-8.05572,-11.99,-115.854,-9.63401909862,-9.615595348
3pcj,-5.53514,-9.04,-47.895,-7.56648770008,-7.211696511
2qwd,-6.16643,-8.56,-79.155,-6.5352149192,-7.225512022
2qwe,-6.38787,-7.54,-71.839,-8.05801901498,-7.128803448
1ttm,-6.1892,-7.19,-62.194,-9.11017516331,-8.510354504
2brb,-7.94424,-9.06,-113.955,-9.55952691601,-9.864274538
3std,-12.65377,-11.4,-136.09,-9.88530881768,-12.37869746
1hfs,-10.06475,-16.24,-297.154,-10.985392705,-13.85695709
2fai,-9.81689,-9.77,-121.45,-11.926407863,-9.65704188
1nny,-9.93468,-13.61,-213.837,-9.32007624368,-11.9089701
1hi4,-6.40453,-8.41,-82.058,-7.70725841445,-7.695239381
1df8,-6.67547,-11.13,-103.073,-8.94970381568,-8.17878225
1s39,-7.5201,-8.98,-73.513,-6.75237281785,-7.971549592
1nc1,-9.66699,-13.48,-125.002,-9.35184343628,-9.035343905
1loq,-7.19066,-10.02,-96.257,-6.79560593165,-8.717587162
2d3z,-8.49507,-4.58,-113.285,-9.36195602817,-9.601779838
1tyr,-4.54842,-3.16,-64.602,-6.44619416464,-8.123520208
1mq6,-9.00475,-9.57,-188.224,-10.1158677412,-10.32018639
1u1b,-8.32418,-11.13,-187.608,-8.83142604804,-9.739934943
2d3u,-8.69604,-4.76,-114.554,-9.53086413132,-9.684672901
1g7f,-6.24422,-9.26,-154.799,-8.27931311547,-8.703771652
